"key","Russian","English","French","Japanese","Italian","Spanish","Arab","Vietnamese","Danish","Chinese_trad","Korean","Norwegian","Portuguese","Turkish","Finnish","Swedish","German","Bulgarian","Hungarian","Greek","Chinese_simpl","Dutch","Polish","Romanian","Thai","Ukrainian","Czech",
"are_you_sure_cancel_quest","Вы точно хотите отменить квест? Отношения с нанимателем и поставщиком ухудшатся","Are you sure you want to cancel the quest? The relationship with the employer and supplier will get worse.","Etes-Vous Sûr De Vouloir Annuler La Quête? La Relation Avec L'Employeur Et Le Fournisseur Se Détériorer","あなたはクエストをキャンセルしてもよろしいですか？雇用者と供給者との関係が悪化します","Sei Sicuro Di Voler Annullare La Ricerca? Il Rapporto Con Il Datore Di Lavoro E Il Fornitore Deteriorarsi","¿Está Seguro De Que Desea Cancelar La Búsqueda? La Relación Con El Empleador Y Proveedor Deterioran","هل أنت متأكد أنك تريد إلغاء السعي؟ العلاقة مع صاحب العمل والمورد يتدهور","BạN Có ChắC ChắN MuốN HủY Thành NhiệM Vụ? MốI Quan Hệ VớI Các Nhà TuyểN DụNg Và Nhà Cung CấP XấU Đi","Er Du Sikker På, Du Vil Annullere Søgen? Forholdet Til Arbejdsgiveren Og Leverandør Forværres","你确定要取消的追求？与用人单位和供应商恶化的关系","당신은 퀘스트를 취소 하시겠습니까? 고용주 및 공급 업체 저하와의 관계","Er Du Sikker På At Du Vil Avbryte Jakten? Forholdet Til Arbeidsgiver Og Leverandør Svekkes","Tem Certeza De Que Deseja Cancelar A Busca? A Relação Com O Empregador E Fornecedor Deteriorar","Eğer Arayışı Iptal Etmek Istediğinizden Emin Misiniz? Işveren Ve Tedarikçi Kötüleşmesine Ile Ilişkisi","Oletko Varma, Että Haluat Peruuttaa Quest? Suhde Työnantajan Ja Toimittaja Heikkenevät","Är Du Säker På Att Du Vill Avbryta Sökandet? Relationen Med Arbetsgivaren Och Leverantör Försämras","Sind Sie Sicher, Dass Sie Den Auftrag Stornieren? Die Beziehung Mit Dem Arbeitgeber Und Anbieter Verschlechtern","Сигурни Ли Сте, Искате Да Прекратите Търсенето? Връзката С Работодателя, Така И Доставчикът Се Влоши","Biztosan Törölni Szeretné A Küldetés? A Kapcsolat A Munkáltató És A Szállító Romlik","Είστε Σίγουροι Ότι Θέλετε Να Ακυρώσετε Την Αναζήτηση; Η Σχέση Με Τον Εργοδότη Και Τον Προμηθευτή Επιδεινωθεί","你确定要取消的追求？与用人单位和供应商恶化的关系","Bent U Zeker Dat U De Zoektocht Annuleren? De Relatie Met De Werkgever Leverancier Verslechteren","Czy Na Pewno Chcesz Anulować Zadanie? Relacja Z Pracodawcą I Dostawcą Pogorszeniu","Sunteți Sigur Că Doriți Să Anulați Căutarea? Relația Cu Angajatorul Și Furnizorul Se Deteriorează","คุณแน่ใจหรือไม่ว่าต้องการยกเลิกการแสวงหา? ความสัมพันธ์กับนายจ้างและผู้จัดจำหน่ายเสื่อมสภาพ","Ви Точно Хочете Скасувати Квест? Відносини З Наймачем І Постачальником Погіршаться","Jste Si Jisti, Že Chcete Zrušit Úkol? Vztah Se Zaměstnavatelem A Dodavatelem Zhoršovat",
"accept","Принять","Accept","Accepter","受け入れるために","Accettare","Aceptar","قبول","ChấP NhậN","At Acceptere","接受","동의합니다","Å Akseptere","Aceitar","Kabul Etmek","Hyväksyä","Att Acceptera","Akzeptieren","Да Приеме","Elfogadni","Να Αποδεχθεί","接受","Accepteren","Akceptować","A Accepta","ที่จะยอมรับ","Прийняти","Přijmout",
"create_car","Создать тачку","Create a car","Créer Une Brouette","手押し車を作成します。","Creare Una Carriola","Crear Una Carretilla","إنشاء عربة","TạO MộT Xe Cút Kít","Opret En Trillebør","创建一个独轮车","수레 만들기","Lag En Trillebår","Criar Um Carrinho De Mão","Bir El Arabası Oluştur","Luo Kottikärryt","Skapa En Skottkärra","Erstellen Sie Eine Schubkarre","Създаване На Ръчна Количка","Hozzon Létre Egy Talicska","Δημιουργήστε Ένα Καροτσάκι","创建一个独轮车","Maak Een Kruiwagen","Tworzenie Taczki","Creați O Roabă","สร้างรถสาลี่","Створити Тачку","Vytvoření Trakař",
"ok","ОК","OK","D'Accord","Ok","Ok","Okay","حسنا","ĐồNg Ý","Okay","好","확인","Ok","Está Bem","Tamam","Kunnossa","Ok","Ok","Добре","Rendben","Εντάξει","好","Ok","Ok","O.K","ตกลง","Ок","Ok",
"one_of_the_characters_left_convoy","Один из персонажей покинул конвой (настрой людей понизился)","One of the characters left the convoy (the mood of the people dropped)","L'Un Des Personnages Ont Quitté Le Convoi (L'Humeur Des Gens A Chuté)","文字の一つは、船団を左（人々の気分はドロップ）","Uno Dei Personaggi Lasciato Il Convoglio (Lo Stato D'Animo Delle Persone È Sceso)","Uno De Los Caracteres Restantes Del Convoy (El Humor De La Gente Ha Caído)","ترك واحدة من الشخصيات القافلة (مزاج الناس انخفض)","MộT Trong NhữNg Nhân VậT RờI KhỏI Đoàn Tàu VậN TảI (Tâm TrạNg CủA NgườI Dân GiảM)","Et Af De Tegn Tilbage Konvojen (Stemningen I Mennesker Droppet)","人物之一离开了车队（的人的心情下降）","문자 중 하나는 호송을 왼쪽 (사람들의 기분은 삭제)","En Av De Tegn Igjen Konvoien (Humøret Til Folk Droppet)","Um Dos Personagens Deixou O Comboio (O Humor Das Pessoas Caiu)","Karakterlerden Biri Konvoyu Sol (Insanların Ruh Düştü)","Yksi Merkkiä Jäljellä Saattuetta (Mieliala Ihmisiä Pois)","En Av De Tecken Kvar Konvojen (Stämningen Människor Föll)","Einer Der Charaktere Den Konvoi Verlassen (Die Stimmung Der Menschen Fallen Gelassen)","Един От Героите Напусна Конвоя (Настроението На Хората Спадна)","Az Egyik Karakter Maradt A Konvoj (A Hangulat Az Emberek Csökkent)","Ένας Από Τους Χαρακτήρες Που Άφησε Το Κονβόι (Η Διάθεση Των Ανθρώπων Που Έπεσαν)","人物之一离开了车队（的人的心情下降）","Een Van De Tekens Over Het Konvooi (De Stemming Van Mensen Laten Vallen)","Jeden Z Bohaterów Opuścił Konwój (Nastrój Ludzi Spadła)","Unul Dintre Personajele Din Stânga Convoiul (Starea De Spirit A Oamenilor A Scăzut)","หนึ่งในตัวละครที่เหลือขบวน (อารมณ์ของผู้คนลดลง)","Один З Персонажів Покинув Конвой (Настрій Людей Знизився)","Jedním Ze Znaků Konvoje (Nálada Lidí Klesl)",
"create_character","Создать Чела","Create a character","Créer Chela","チェラを作成","Creare Chela","Crear Chela","إنشاء شيلا","TạO Chela","Opret Chela","创建切拉","첼라 만들기","Lag Chela","Criar Chela","Chela Oluştur","Luo Chela","Skapa Chela","Erstellen Chela","Създаване Чела","Készítsen Chela","Δημιουργία Τσέλα","创建切拉","Maak Chela","Tworzenie Chela","Creați Chela","สร้างสาวก","Створити Чела","Vytvořit Chela",
"are_you_sure_delete_character","Вы точно хотите удалить этого персонажа безвозратно?","Are you sure you want to permanently delete this character?","Etes-Vous Sûr De Vouloir Supprimer Ce Caractère Bezvozratno?","あなたはこの文字Bezvozratnoを削除してもよろしいですか？","Sei Sicuro Di Voler Eliminare Questo Bezvozratno Personaggio?","¿Seguro Que Desea Eliminar Este Bezvozratno Personaje?","هل أنت متأكد أنك تريد حذف هذا Bezvozratno الشخصية؟","BạN ChắC ChắN MuốN Xóa Nhân VậT Bezvozratno Này?","Er Du Sikker På At Du Vil Slette Denne Karakter Bezvozratno?","你确定要删除这个角色Bezvozratno？","당신은 당신이이 문자 Bezvozratno을 삭제 하시겠습니까?","Er Du Sikker På At Du Vil Slette Dette Tegnet Bezvozratno?","Tem Certeza De Que Deseja Excluir Este Bezvozratno Personagem?","Eğer Bu Karakter Bezvozratno Silmek Istediğinizden Emin Misiniz?","Oletko Varma, Että Haluat Poistaa Tämän Merkin Bezvozratno?","Är Du Säker På Att Du Vill Ta Bort Denna Karaktär Bezvozratno?","Sind Sie Sicher, Dass Sie Diesen Charakter Bezvozratno Löschen?","Сигурни Ли Сте, Че Искате Да Изтриете Този Герой Bezvozratno?","Biztosan Törölni Szeretné Ezt A Karaktert Bezvozratno?","Είστε Σίγουροι Ότι Θέλετε Να Διαγράψετε Αυτό Το Bezvozratno Χαρακτήρα;","你确定要删除这个角色Bezvozratno？","Weet U Zeker Dat U Wilt Dit Karakter Bezvozratno Verwijderen?","Czy Na Pewno Chcesz Usunąć Tę Postać Bezvozratno?","Sunteți Sigur Că Doriți Să Ștergeți Acest Bezvozratno Personaj?","คุณแน่ใจหรือว่าต้องการลบ Bezvozratno ตัวละครตัวนี้?","Ви Точно Хочете Видалити Цього Персонажа Безвозратно?","Jste Si Jisti, Že Chcete Odstranit Tento Znak Bezvozratno?",
"deny","Отказаться","Refuse","Refuser","ごみ","Rifiuto","Negar","رفض","Rác","Nægte","垃圾","폐물","Nekte","Recusar","Çöp","Kieltäytyä","Vägra","Sich Weigern","Отказвам","Megtagadja","Αρνηθεί","垃圾","Weigeren","Odrzucać","Refuza","ปฏิเสธ","Відмовитися","Odmítnout",
"delivery","Доставка","Delivery","Livraison","配達","Consegna","Entrega","توصيل","ChuyểN","Levering","交货","배달","Leveranse","Entrega","Teslim","Toimitus","Leverans","Lieferung","Доставка","Kézbesítés","Διανομή","交货","Levering","Dostawa","Livrare","การจัดส่งสินค้า","Доставка","Dodávka",
"characters","Персонажи","Characters","Personnages","文字","Personaggi","Caracteres","الشخصيات","Nhân VậT","Tegn","人物","등장 인물","Tegn","Personagens","Karakterler","Merkkiä","Tecken","Figuren","Знаци","Karakterek","Χαρακτήρες","人物","Tekens","Postacie","Caractere","ตัวละคร","Персонажі","Postavy",
"quests","Квесты","Quests","Quêtes","クエスト","Missioni","Misiones","المهام","NhiệM Vụ","Quests","任务","퀘스트","Oppdrag","Quests","Görevler","Tehtävät","Uppdrag","Quests","Гости","Küldetések","Αποστολές","任务","Quests","Questy","Misiuni","เควส","Квести","Úkoly",
"loot","Добыча",


"Strange","Сила","Strength","Puissance","力","Energia","Poder","قوة","QuyềN LựC","Strøm","功率","힘","Makt","Poder","Güç","Teho","Kraft","Leistung","Мощност","Erő","Εξουσία","功率","Macht","Moc","Putere","อำนาจ","Сила","Napájení",
"Agility","Ловкость","Agility","Dextérité","熟練","Destrezza","Destreza","براعة","Khéo Tay","Fingerfærdighed","灵巧","재치","Behendighet","Destreza","Beceri","Kätevyys","Fingerfärdighet","Geschicklichkeit","Сръчност","Ügyesség","Επιδεξιότητα","灵巧","Behendigheid","Zręczność","Dexteritate","ความชำนาญ","Спритність","Šikovnost",
"Intelect","Интелект","Intelligence","Intelligence","インテリジェンス","Intelligenza","Inteligencia","الذكاء","Sự Thông Minh","Intelligens","情报","지성","Intelligens","Inteligência","Zeka","Älykkyys","Intelligens","Intelligenz","Интелигентност","Intelligencia","Νοημοσύνη","情报","Intelligentie","Inteligencja","Inteligență","สติปัญญา","Інтелект","Inteligence",
"Charisma","Харизма","Charisma","Charisme","カリスマ","Carisma","Carisma","جاذبية","Uy Tín","Charisma","魅力","카리스마","Karisma","Carisma","Karizma","Karisma","Karisma","Charisma","Непреодолим Чар","Karizma","Χάρισμα","魅力","Charisma","Charyzma","Charisma","ความสามารถพิเศษ","Харизма","Charisma",


"0_Location_The_Grand_Harbor","Гранд-Харбор","The Grand Harbor","Grand Port","グランドハーバー","Grand Harbour","Gran Puerto","الميناء الكبير","Grand Harbour","Grand Harbour","大港","그랜드 하버","Grand Harbour","Grand Harbour","Grand Harbour","Grand Harbour","Grand Harbour","Grand Harbour","Гранд Харбър","Grand Harbour","Μεγάλο Λιμάνι","大港","Grand Harbour","Grand Harbour","Grand Harbor","แกรนด์ฮาร์เบอร์","Гранд-Харбор","Grand Harbour",
"1_Location_Longstand","Длинная стойка","Longstand","Longue Réception","長いレセプション","Lungo Reception","Larga Recepción","استقبال طويل","TiếP NhậN Từ Lâu","Lang Reception","长长的接待","긴 리셉션","Lang Mottak","Longo Recepção","Uzun Alımı","Pitkä Vastaanotto","Lång Mottagning","Lange Rezeption","Дългосрочен Прием","Hosszú Vétel","Μεγάλη Υποδοχή","长长的接待","Lange Receptie","Długo Odbiór","Recepție Lung","แผนกต้อนรับส่วนหน้ายาว","Довга Стійка","Dlouhá Recepce",
"2_Location_Whitehand","Белая рука","Whitehand","Main Blanche","白い手","Mano Bianca","Mano Blanca","اليد البيضاء","Bàn Tay TrắNg","Hvid Hånd","白色的手","하얀 손","Hvit Hånd","Mão Branca","Beyaz El","Valkoinen Käsi","Vit Hand","Weiße Hand","Бяла Ръка","Fehér Kéz","Λευκό Χέρι","白色的手","Witte Hand","Biała Ręka","Mana Alba","มือสีขาว","Біла Рука","White Hand",
"3_Location_Jadewing","Нефритовое крыло","Jadewing","Aile Jade","ジェイドウィング","Ala Jade","Ala Jade","الجناح اليشم","Jade Cánh","Jade Fløj","玉翼","옥 날개","Jade Vinge","Asa Jade","Yeşim Kanat","Jade Siipi","Jade Vinge","Jade Flügel","Jade Крило","Jade Szárny","Jade Πτέρυγα","玉翼","Jade Vleugel","Jade Skrzydło","Jade Aripa","ปีกหยก","Нефритове Крило","Jade Křídlo",
"4_Location_Wolfland","Wolfland","Wolfland","Wolfland","Wolfland","Wolfland","Wolfland","Wolfland","Wolfland","Wolfland","Wolfland","Wolfland","Wolfland","Wolfland","Wolfland","Wolfland","Wolfland","Wolfland","Wolfland","Wolfland","Wolfland","Wolfland","Wolfland","Wolfland","Wolfland","Wolfland","Wolfland","Wolfland",
"5_Location_Frostblade_Sanctuary","Святилище Ледяных Клинков","Frostblade Sanctuary","Sanctuary Givrelame","サンクチュアリFrostblade","Santuario Frostblade","Santuario Frostblade","ملاذ Frostblade","Sanctuary Frostblade","Sanctuary Frostblade","保护区Frostblade","성역 Frostblade","Sanctuary Frostblade","Santuário Frostblade","Sanctuary Frostblade","Sanctuary Frostblade","Sanctuary Frostblade","Sanctuary Frostklingen","Sanctuary Frostblade","Sanctuary Frostblade","Ιερό Frostblade","保护区Frostblade","Sanctuary Frostblade","Sanktuarium Frostblade","Sanctuary Frostblade","Sanctuary Frostblade","Святилище Льодяних Клінков","Sanctuary Frostblade",
"6_Location_The_Tempest_Lair","Буря Логово","The Tempest Lair","Lair Tempête","嵐の隠れ家","Lair Della Tempesta","Guarida De Tormenta","عرين العاصفة","Lair Bão CủA","Storm Lair","风暴的巢穴","폭풍의 소굴","Storm Lair","Lair Da Tempestade","Fırtına Lair","Myrsky Lair","Storm Lya","Sturm Lair","Lair Буря","Vihar Lair","Lair Καταιγίδας","风暴的巢穴","Storm'S Lair","Lair Burzy","Lair Furtuna Lui","พายุ Lair","Буря Лігво","Bouře Lair",
"7_Location_Renegade_Hideaway","Убежище отступника","Renegade Hideaway","Refuge Apostat","避難背教","Rifugio Apostata","Apóstata Refugio","ملجأ المرتد","ẨN Náu BộI ĐạO","Tilflugt Frafalden","变节者避难","피난 교자","Tilflukt Frafallen","Refúgio Apóstata","Refüj Mürted","Suojapaikkaan Luopio","Tillflykt Avfälling","Zuflucht Abgefallenen","Убежище Отстъпник","Menedéket Hitehagyott","Καταφύγιο Αποστάτης","变节者避难","Toevlucht Afvallige","Ostoja Apostata","Refugiu Apostat","ที่หลบภัยศาสนา","Притулок Відступника","Útočiště Odpadlík",


"deliver_supplies","Доставить припасы","Deliver supplies","Livrer Des Fournitures","物資をお届け","Consegnare Rifornimenti","Entregar Suministros","إيصال الإمدادات","Cung CấP NguồN Cung CấP","Levere Forsyninger","运送物资","공급을 제공","Levere Forsyninger","Entregar Suprimentos","Malzemeleri Teslim","Toimitussitoumusten","Leverera Förnödenheter","Liefern Lieferungen","Доставя Консумативи","Szállítson","Παραδώσει Προμήθειες","运送物资","Leveren Supplies","Dostarczanie Materiałów Eksploatacyjnych","Livra Provizii","ส่งเสบียง","Доставити Припаси","Dodávat Zásoby",
"get_reward","Получить вознаграждение",,"Gagner Des Récompenses","報酬を獲得","Guadagnare Premi","Gana Recompensas","كسب المكافآت","Giành ĐượC PhầN ThưởNg","Optjen Belønninger","获得奖励","보상을 창출","Tjen Belønninger","Ganhar Recompensas","Ödül Kazanın","Ansaita Palkintoja","Tjäna Belöningar","Verdienen Sie Belohnungen","Спечелете Награди","Keress Jutalmak","Κερδίστε Ανταμοιβές","获得奖励","Verdien Beloningen","Zdobywać Nagrody","A Castiga Premii","ได้รับผลตอบแทน","Отримати Винагороду","Získejte Odměny",
"get_quest","Получить квест","Get a reward","Obtenez Quête","クエストを取得","Ottenere Quest","Obtener Búsqueda","الحصول على السعي","NhậN NhiệM Vụ","Få Søgen","拿任务","퀘스트를 받기","Få Søken","Obter Busca","Arayışı Alın","Get Quest","Få Quest","Erhalten Sie Quest","Вземи Търсене","Get Quest","Πάρτε Αναζήτηση","拿任务","Krijg Quest","Dostać Questa","Ia-Quest","รับเควสต์","Отримати Квест","Získat Pátrání",
"magazine","Магазин","Shop","But","スコア","Punto","Puntuación","أحرز هدفا","Ghi Bàn","Score","得分了","점수","Score","Ponto","Puan","Pisteet","Göra","Ergebnis","Резултат","Pontszám","Σκορ","得分了","Partituur","Wynik","Scor","คะแนน","Магазин","Skóre",
"exit_city","Выйти из города","Leave the town","Quittez La Ville","街を残します","Lasciare La Città","Salir De La Ciudad","مغادرة المدينة","RờI KhỏI Thành Phố","Lad Byen","离开城市","도시를 떠나","Legg Byen","Deixe A Cidade","Şehri Terk","Poistua Kaupungista","Lämna Staden","Verlassen Sie Die Stadt","Оставете Града","Hagyja A Város","Αφήστε Την Πόλη","离开城市","Verlaat De Stad","Opuścić Miasto","Lăsați Orașul","ออกจากเมือง","Вийти З Міста","Opustit Město",


"delivery_suppliesQUEST","Доставьте припасы в пунк назначения затем вернитесь обратно за наградой","Deliver supplies to your destination then get back for your reward","Livrer Des Fournitures À La Destination Punk Puis Revenir En Arrière Pour Une Récompense","パンクはその後、報酬のために戻って目的地に物資を届けます","Consegnare Rifornimenti Alla Destinazione Punk Poi Tornare Per Una Ricompensa","Entregar Suministros Al Destino Del Punk Y Luego Volver Para Una Recompensa","إيصال الإمدادات إلى الوجهة الشرير ثم أعود لمكافأة","Cung CấP NguồN Cung CấP ĐếN Đích Punk Sau Đó Quay Trở LạI Cho MộT PhầN ThưởNg","Levere Leverancerne Til Destinationen Punk Derefter Gå Tilbage Til En Belønning","运送物资到目的地朋克再回去了奖励","펑크 후 보상을 돌아가 대상으로 공급을 제공","Lever Forsyninger Til Målet Punk Så Gå Tilbake For En Belønning","Entregar Suprimentos Para O Destino Punk Depois Voltar Para Uma Recompensa","Punk Sonra Bir Ödül Için Geri Dönmek Hedefe Malzemeleri Sunun","Toimita Toimitukset Määränpäähän Punk Palaa Palkkiota","Leverera Leveranser Till Destinationen Punk Sedan Gå Tillbaka För En Belöning","Liefern Sie Liefert An Das Ziel Für Eine Belohnung Dann Punk Zurück","Доставяйте Доставки До Местоназначението След Това Пънк Се Върна За Награда","Szállítja A Rendeltetési Punk, Majd Menj Vissza A Jutalmat","Παραδώστε Τις Προμήθειες Για Τον Προορισμό Punk Τότε Πάμε Πίσω Για Μια Ανταμοιβή","运送物资到目的地朋克再回去了奖励","Lever Leveringen Naar De Bestemming Punk Ga Dan Terug Voor Een Beloning","Dostarcz Dostaw Do Miejsca Przeznaczenia Następnie Punk Wrócić Po Nagrodę","Oferiți Provizii La Destinație Punk Apoi Du-Te Înapoi Pentru O Recompensă","ส่งเสบียงไปยังปลายทางพังก์จากนั้นกลับไปรับรางวัล","Зробіть Припаси В Пунк Призначення Потім Поверніться Назад За Нагородою","Dodávky Do Místa Určení Punk Pak Se Vrátit Na Odměnu",

"delivery","Доставка","Delivery","Livraison","配達","Consegna","Entrega","توصيل","ChuyểN","Levering","交货","배달","Leveranse","Entrega","Teslim","Toimitus","Leverans","Lieferung","Доставка","Kézbesítés","Διανομή","交货","Levering","Dostawa","Livrare","การจัดส่งสินค้า","Доставка","Dodávka",

"Mini Capi","Гольф кар","Golf car","Voiture Golf","ゴルフカー","Golf Car","Coche De Golf","سيارة جولف","Golf Xe","Golf Bil","高尔夫车","골프 차","Golf Bil","Carro De Golfe","Golf Arabası","Golf-Auto","Golfbil","Golf Auto","Голф Кола","Golf Autó","Γκολφ Αυτοκίνητο","高尔夫车","Golf Auto","Golf Samochód","Masina De Golf","รถกอล์ฟ","Гольф Кар","Golfový Vozík",
"BoBy","Секиджер",
"HI Colyne","Минивен",
"Leonardo","Райзен",
"Jiner","Роял Ноир",
"Pikaper","Пикап",
"News","Новостной Фургон",
"Ice Cream","Фургон Мороженщика",
"Army","Военная Фура",
"Ambulance","Скорая Помощь",
"Sweet Home","Дом на колесах",
"Prison Bus","Тюремный Фургон",
"Old Optimus","Бензиновоз",